name,nse_symbol,isin
20 Microns Limited,20MICRONS,INE144J01027
21st Century Management Services Limited,21STCENMGM,INE253B01015
360 ONE WAM LIMITED,360ONE,INE466L01038
3B Blackbio Dx Limited,3BBLACKBIO,INE994E01018
3i Infotech Limited,3IINFOLTD,INE748C01038
3M India Limited,3MINDIA,INE470A01017
3P Land Holdings Limited,3PLAND,INE105C01023
5Paisa Capital Limited,5PAISA,INE618L01018
63 moons technologies limited,63MOONS,INE111B01023
A2Z Infra Engineering Limited,A2ZINFRA,INE619I01012
AAA Technologies Limited,AAATECH,INE0D0U01013
Aadhar Housing Finance Limited,AADHARHFC,INE883F01010
Aakash Exploration Services Limited,AAKASH,INE087Z01024
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,INE198H01019
Aarnav Fashions Limited,AARNAV,INE750R01016
Aaron Industries Limited,AARON,INE721Z01010
Aartech Solonics Limited,AARTECH,INE01C001026
Aarti Drugs Limited,AARTIDRUGS,INE767A01016
Aarti Industries Limited,AARTIIND,INE769A01020
Aarti Pharmalabs Limited,AARTIPHARM,INE0LRU01027
Aarti Surfactants Limited,AARTISURF,INE09EO01013
Aarvi Encon Limited,AARVI,INE754X01016
Aastha Spintex Limited,AASTHA,INE2FMX01012
Aavas Financiers Limited,AAVAS,INE216P01012
Aban Offshore Limited,ABAN,INE421A01028
Abans Enterprises Limited,ABANSENT,INE365O01028
ABB India Limited,ABB,INE117A01022
Abbott India Limited,ABBOTINDIA,INE358A01014
Aditya Birla Capital Limited,ABCAPITAL,INE674K01013
A B Cotspin India Limited,ABCOTS,INE08PH01015
Allied Blenders and Distillers Limited,ABDL,INE552Z01027
Aditya Birla Fashion and Retail Limited,ABFRL,INE647O01011
A B Infrabuild Limited,ABINFRA,INE00YB01025
Aditya Birla Lifestyle Brands Limited,ABLBL,INE14LE01019
ABM International Limited,ABMINTLLTD,INE251C01025
ABM Knowledgeware Limited,ABMKNO,INE850B01026
